latitude,ratio,target_cost_ratio_mean,actual_cost_ratio_mean,actual_cost_ratio_min,actual_cost_ratio_max,wmape_mean,wmape_std,n_repeats,wmape_ci95_low,wmape_ci95_high,cost_basis
0,0.01,0.01,0.011213494565668298,0.011213494565668298,0.011213494565668298,0.29981191936284685,0.013371004897100257,25,0.29429263980791753,0.30533119891777616,direct_random_fraction
0,0.02,0.02,0.021120260516054094,0.021120260516054094,0.021120260516054094,0.22561779964829573,0.0066405872755437925,25,0.2228766999430237,0.22835889935356776,direct_random_fraction
0,0.050000000000000003,0.050000000000000003,0.051116250449404023,0.051116250449404023,0.051116250449404023,0.15054991625695738,0.0048449877498341247,25,0.14855000360735976,0.152549828906555,direct_random_fraction
0,0.10000000000000001,0.10000000000000001,0.10105281534334468,0.10105281534334468,0.10105281534334468,0.10715994409995516,0.0027350057512057057,25,0.1060309892127636,0.10828889898714672,direct_random_fraction
0,0.01,0.16779767327368758,0.16836575956193478,0.16836575956193478,0.16836575956193478,0.081954790102667832,0.0025341801667358005,25,0.08090873194246137,0.083000848262874294,matched_sf_m3_achieved_cost
0,0.02,0.17547596078757605,0.17635564451450539,0.17635564451450539,0.17635564451450539,0.07957339417129608,0.0023513471362641911,25,0.078602805776811308,0.080543982565780853,matched_sf_m3_achieved_cost
0,0.050000000000000003,0.1999830977657388,0.20110916369368625,0.20110916369368623,0.20110916369368623,0.073825561119818764,0.001923997132119569,25,0.073031374137107155,0.074619748102530373,matched_sf_m3_achieved_cost
0,0.10000000000000001,0.24209203063112603,0.24320794961143841,0.24320794961143838,0.24320794961143838,0.065542758772091106,0.0014708372242212319,25,0.064935627005799273,0.066149890538382938,matched_sf_m3_achieved_cost
0,0.20000000000000001,0.32638368693608905,0.32753170026825962,0.32753170026825962,0.32753170026825962,0.053521498224853331,0.001134350585960842,25,0.053053261316304036,0.053989735133402626,matched_sf_m3_achieved_cost
0,0.34999999999999998,0.45256525538489339,0.45373990569429457,0.45373990569429462,0.45373990569429462,0.041269760369186149,0.0012764591835241082,25,0.040742863914615693,0.041796656823756606,matched_sf_m3_achieved_cost
0,0.5,0.57892065226075817,0.58007947537265969,0.58007947537265969,0.58007947537265969,0.032080807958344913,0.0009679958800577589,25,0.031681238897442301,0.032480377019247525,matched_sf_m3_achieved_cost
15,0.01,0.01,0.011213494565668298,0.011213494565668298,0.011213494565668298,0.30039499311359164,0.0069870411382726297,25,0.29751088428252831,0.30327910194465496,direct_random_fraction
15,0.02,0.02,0.021120260516054094,0.021120260516054094,0.021120260516054094,0.22996082979522672,0.0055208178967994159,25,0.22768194817198381,0.23223971141846964,direct_random_fraction
15,0.050000000000000003,0.050000000000000003,0.051116250449404023,0.051116250449404023,0.051116250449404023,0.15512937591897183,0.0054354352619647136,25,0.15288573851517359,0.15737301332277007,direct_random_fraction
15,0.10000000000000001,0.10000000000000001,0.10105281534334468,0.10105281534334468,0.10105281534334468,0.11165569071164655,0.0048249782972588145,25,0.10966403755812677,0.11364734386516633,direct_random_fraction
15,0.01,0.16779767327368758,0.16836575956193478,0.16836575956193478,0.16836575956193478,0.084719144800286639,0.0021189857198313225,25,0.083844470484432596,0.085593819116140682,matched_sf_m3_achieved_cost
15,0.02,0.17547596078757605,0.17635564451450539,0.17635564451450539,0.17635564451450539,0.082534216349673881,0.0020133343945664675,25,0.081703152757469491,0.08336527994187827,matched_sf_m3_achieved_cost
15,0.050000000000000003,0.1999830977657388,0.20110916369368625,0.20110916369368623,0.20110916369368623,0.076023108142643708,0.0016886985375176528,25,0.07532604764612251,0.076720168639164907,matched_sf_m3_achieved_cost
15,0.10000000000000001,0.24209203063112603,0.24320794961143841,0.24320794961143838,0.24320794961143838,0.06757250915024654,0.0015770996742914027,25,0.066921514400383728,0.068223503900109353,matched_sf_m3_achieved_cost
15,0.20000000000000001,0.32638368693608905,0.32753170026825962,0.32753170026825962,0.32753170026825962,0.055033568161251108,0.0011132217871373724,25,0.054574052792201948,0.055493083530300268,matched_sf_m3_achieved_cost
15,0.34999999999999998,0.45256525538489339,0.45373990569429457,0.45373990569429462,0.45373990569429462,0.041891589879568578,0.00097106810874865684,25,0.041490752664990742,0.042292427094146413,matched_sf_m3_achieved_cost
15,0.5,0.57892065226075817,0.58007947537265969,0.58007947537265969,0.58007947537265969,0.032526443963387039,0.00098311409857524518,25,0.032120634408593904,0.032932253518180174,matched_sf_m3_achieved_cost
30,0.01,0.01,0.011213494565668298,0.011213494565668298,0.011213494565668298,0.32399745676960562,0.0063411266797167411,25,0.32137996832293192,0.32661494521627932,direct_random_fraction
30,0.02,0.02,0.021120260516054094,0.021120260516054094,0.021120260516054094,0.24610321221891177,0.0045549610934279778,25,0.24422301668911225,0.24798340774871128,direct_random_fraction
30,0.050000000000000003,0.050000000000000003,0.051116250449404023,0.051116250449404023,0.051116250449404023,0.16653244138533538,0.0049686303756432907,25,0.16448149156822509,0.16858339120244567,direct_random_fraction
30,0.10000000000000001,0.10000000000000001,0.10105281534334468,0.10105281534334468,0.10105281534334468,0.1196504549437572,0.002701290719622833,25,0.11853541693760346,0.12076549294991094,direct_random_fraction
30,0.01,0.16779767327368758,0.16836575956193478,0.16836575956193478,0.16836575956193478,0.090453784577126176,0.0017624346946819337,25,0.089726287290862697,0.091181281863389654,matched_sf_m3_achieved_cost
30,0.02,0.17547596078757605,0.17635564451450539,0.17635564451450539,0.17635564451450539,0.088168984528920691,0.0016479954690163511,25,0.087488725433306228,0.088849243624535154,matched_sf_m3_achieved_cost
30,0.050000000000000003,0.1999830977657388,0.20110916369368625,0.20110916369368623,0.20110916369368623,0.081326298533652377,0.0012239125951159192,25,0.080821092244728748,0.081831504822576007,matched_sf_m3_achieved_cost
30,0.10000000000000001,0.24209203063112603,0.24320794961143841,0.24320794961143838,0.24320794961143838,0.072252539098142249,0.0014492033790399123,25,0.071654337344240857,0.072850740852043641,matched_sf_m3_achieved_cost
30,0.20000000000000001,0.32638368693608905,0.32753170026825962,0.32753170026825962,0.32753170026825962,0.058828253915777069,0.0013980841155100713,25,0.058251153156769826,0.059405354674784312,matched_sf_m3_achieved_cost
