index,position,red,green,blue,alpha
0,0,0.36862745098039218,0.30980392156862746,0.63529411764705879,1
1,0.0039215686274509803,0.36186082276047676,0.31856978085351789,0.63944636678200684,1
2,0.0078431372549019607,0.35509419454056135,0.32733564013840832,0.643598615916955,1
3,0.011764705882352941,0.34832756632064593,0.33610149942329876,0.64775086505190305,1
4,0.015686274509803921,0.34156093810073052,0.34486735870818919,0.65190311418685121,1
5,0.019607843137254902,0.3347943098808151,0.35363321799307962,0.65605536332179926,1
6,0.023529411764705882,0.32802768166089968,0.36239907727797005,0.66020761245674742,1
7,0.027450980392156862,0.32126105344098421,0.37116493656286048,0.66435986159169547,1
8,0.031372549019607843,0.3144944252210688,0.37993079584775091,0.66851211072664363,1
9,0.035294117647058823,0.30772779700115338,0.38869665513264129,0.67266435986159168,1
10,0.039215686274509803,0.30096116878123796,0.39746251441753178,0.67681660899653984,1
11,0.043137254901960784,0.29419454056132255,0.40622837370242215,0.68096885813148789,1
12,0.047058823529411764,0.28742791234140713,0.41499423298731258,0.68512110726643605,1
13,0.050980392156862744,0.28066128412149172,0.42376009227220302,0.6892733564013841,1
14,0.054901960784313725,0.2738946559015763,0.43252595155709345,0.69342560553633215,1
15,0.058823529411764705,0.26712802768166088,0.44129181084198388,0.69757785467128031,1
16,0.062745098039215685,0.26036139946174547,0.45005767012687437,0.70173010380622836,1
17,0.066666666666666666,0.25359477124183005,0.45882352941176474,0.70588235294117652,1
18,0.070588235294117646,0.24682814302191464,0.46758938869665517,0.71003460207612457,1
19,0.074509803921568626,0.24006151480199919,0.4763552479815456,0.71418685121107273,1
20,0.078431372549019607,0.23329488658208378,0.48512110726643604,0.71833910034602078,1
21,0.082352941176470587,0.22652825836216836,0.49388696655132647,0.72249134948096894,1
22,0.086274509803921567,0.21976163014225295,0.50265282583621684,0.72664359861591699,1
23,0.090196078431372548,0.21299500192233753,0.51141868512110733,0.73079584775086515,1
24,0.094117647058823528,0.20622837370242211,0.52018454440599771,0.7349480968858132,1
25,0.098039215686274508,0.19946174548250667,0.52895040369088819,0.73910034602076125,1
26,0.10196078431372549,0.2000768935024991,0.53779315647827763,0.73933102652825833,1
27,0.10588235294117647,0.20807381776239914,0.54671280276816614,0.73564013840830456,1
28,0.10980392156862745,0.21607074202229917,0.55563244905805464,0.73194925028835067,1
29,0.11372549019607843,0.22406766628219921,0.56455209534794315,0.72825836216839679,1
30,0.11764705882352941,0.23206459054209927,0.57347174163783166,0.72456747404844291,1
31,0.12156862745098039,0.2400615148019993,0.58239138792772016,0.72087658592848902,1
32,0.12549019607843137,0.24805843906189934,0.59131103421760867,0.71718569780853514,1
33,0.12941176470588237,0.25605536332179935,0.60023068050749706,0.71349480968858137,1
34,0.13333333333333333,0.26405228758169941,0.60915032679738568,0.70980392156862748,1
35,0.13725490196078433,0.27204921184159947,0.61806997308727418,0.7061130334486736,1
36,0.14117647058823529,0.28004613610149953,0.62698961937716269,0.70242214532871972,1
37,0.14509803921568629,0.28804306036139948,0.63590926566705108,0.69873125720876583,1
38,0.14901960784313725,0.2960399846212996,0.6448289119569397,0.69504036908881195,1
39,0.15294117647058825,0.30403690888119961,0.6537485582468282,0.69134948096885807,1
40,0.15686274509803921,0.31203383314109967,0.66266820453671671,0.68765859284890429,1
41,0.16078431372549021,0.32003075740099968,0.6715878508266051,0.68396770472895041,1
42,0.16470588235294117,0.32802768166089979,0.68050749711649372,0.68027681660899653,1
43,0.16862745098039217,0.3360246059207998,0.68942714340638223,0.67658592848904264,1
44,0.17254901960784313,0.34402153018069986,0.69834678969627073,0.67289504036908876,1
45,0.17647058823529413,0.35201845444059982,0.70726643598615913,0.66920415224913499,1
46,0.1803921568627451,0.36001537870049993,0.71618608227604774,0.6655132641291811,1
47,0.18431372549019609,0.3680123029604,0.72510572856593625,0.66182237600922722,1
48,0.18823529411764706,0.3760092272203,0.73402537485582475,0.65813148788927334,1
49,0.19215686274509805,0.38400615148020001,0.74294502114571315,0.65444059976931945,1
50,0.19607843137254902,0.39200307574010007,0.75186466743560176,0.65074971164936557,1
51,0.20000000000000001,0.40000000000000019,0.76078431372549027,0.6470588235294118,1
52,0.20392156862745098,0.41061130334486751,0.76493656286043832,0.64690503652441367,1
53,0.20784313725490197,0.42122260668973482,0.76908881199538637,0.64675124951941565,1
54,0.21176470588235294,0.43183391003460225,0.77324106113033453,0.64659746251441752,1
55,0.21568627450980393,0.44244521337946963,0.77739331026528258,0.6464436755094195,1
56,0.2196078431372549,0.45305651672433694,0.78154555940023074,0.64628988850442137,1
57,0.22352941176470589,0.46366782006920426,0.78569780853517879,0.64613610149942335,1
58,0.22745098039215686,0.47427912341407169,0.78985005767012695,0.64598231449442522,1
59,0.23137254901960785,0.48489042675893901,0.794002306805075,0.64582852748942721,1
60,0.23529411764705882,0.49550173010380638,0.79815455594002316,0.64567474048442908,1
61,0.23921568627450981,0.50611303344867364,0.80230680507497121,0.64552095347943106,1
62,0.24313725490196078,0.51672433679354113,0.80645905420991926,0.64536716647443293,1
63,0.24705882352941178,0.52733564013840839,0.81061130334486742,0.64521337946943491,1
