row,column,row_label,column_label,case_id,wmape,annotation,normalized_color,red,green,blue,alpha,text_color,highlight_max
0,0,0,Red Hook,nyc_bk_red_hook,0.006804321678177354,0.7%,0,0.36862745098039218,0.30980392156862746,0.63529411764705879,1,white,False
0,1,0,Long Island City,nyc_qn_long_island_city,0.0097769881866707122,1.0%,0.078872253471705053,0.23329488658208378,0.48512110726643604,0.71833910034602078,1,white,False
0,2,0,Co-op City,nyc_bx_coop_city,0.012263967243620218,1.2%,0.14485800801164514,0.28804306036139948,0.63590926566705108,0.69873125720876583,1,black,False
0,3,0,Jackson Heights,nyc_qn_jackson_heights,0.012930630029008303,1.3%,0.16254623373055757,0.32003075740099968,0.6715878508266051,0.68396770472895041,1,black,False
0,4,0,Park Slope,nyc_bk_park_slope,0.01398223839320629,1.4%,0.19044802534324229,0.3760092272203,0.73402537485582475,0.65813148788927334,1,black,False
0,5,0,Bayside,nyc_qn_bayside,0.022944890797710959,2.3%,0.42824953796066695,0.92887351018838915,0.97154940407535573,0.63806228373702434,1,black,False
0,6,0,Riverdale,nyc_bx_riverdale,0.028759864542643426,2.9%,0.55265837152464681,0.99792387543252592,0.93564013840830451,0.64106113033448675,1,black,False
0,7,0,Financial District,nyc_mn_fidi,0.035324621363404536,3.5%,0.66378661586670762,0.99361783929257985,0.75540176855055752,0.44175317185697804,1,black,False
0,8,0,Greenridge,nyc_si_greenridge,0.031918087210771648,3.2%,0.60612078451768403,0.99577085736255289,0.86305267204921188,0.53217993079584769,1,black,False
0,9,0,Midtown,nyc_mn_midtown,0.039542587921011917,4.0%,0.73518838002011155,0.97900807381776245,0.58738946559015759,0.33656286043829298,1,black,False
0,10,0,Latitude mean,,0.021424819736622538,2.1%,0.38791826309931887,0.87474048442906605,0.9497116493656288,0.60161476355247978,1,black,False
1,0,15,Red Hook,nyc_bk_red_hook,0.0072428493896348331,0.7%,0.011635233455760617,0.35509419454056135,0.32733564013840832,0.643598615916955,1,white,False
1,1,15,Long Island City,nyc_qn_long_island_city,0.010284754098403246,1.0%,0.092344548994944792,0.21299500192233753,0.51141868512110733,0.73079584775086515,1,white,False
1,2,15,Co-op City,nyc_bx_coop_city,0.012290805120998564,1.2%,0.14557008380661893,0.28804306036139948,0.63590926566705108,0.69873125720876583,1,black,False
1,3,15,Jackson Heights,nyc_qn_jackson_heights,0.013307134206061583,1.3%,0.17253582819090379,0.34402153018069986,0.69834678969627073,0.67289504036908876,1,black,False
1,4,15,Park Slope,nyc_bk_park_slope,0.014843120012817918,1.5%,0.21328936093105236,0.43183391003460225,0.77324106113033453,0.64659746251441752,1,black,False
