latitude,cell_hash,method,feature,n_exploratory_periods,scope,algorithm,ratio,kmeans_threads,segment,level,n_cases,error_numerator,true_signal,cost_ratio_mean,wmape,family,color,line_style,marker,selected
0,b2fef391172656c1,F1 m=2 r=2%,F1,2,S2,kmeans,0.02,4,all,building,10,510039.24033595563,5872969.4563907655,0.1239432083367995,0.086845205670352713,SF,#54A24B,solid,circle,False
0,96a6ae5dfa507555,F1 m=2 r=5%,F1,2,S2,kmeans,0.050000000000000003,4,all,building,10,351024.65913523437,5872969.4563907655,0.14998204137609747,0.059769535963321123,SF,#54A24B,solid,circle,False
0,7d1bf613519e8cb1,F1 m=2 r=10%,F1,2,S2,kmeans,0.10000000000000001,4,all,building,10,265909.57993132703,5872969.4563907655,0.19472278254557146,0.045276853882148707,SF,#54A24B,solid,circle,False
0,528e26e84cee2430,F1 m=2 r=20%,F1,2,S2,kmeans,0.20000000000000001,4,all,building,10,183252.80672186741,5872969.4563907655,0.28428266736959457,0.031202751535248995,SF,#54A24B,solid,circle,False
0,d8cc553777aeb66e,F1 m=2 r=35%,F1,2,S2,kmeans,0.34999999999999998,4,all,building,10,117117.57307093689,5872969.4563907655,0.4183505838464493,0.019941798427623957,SF,#54A24B,solid,circle,False
0,38266c7b3de97021,F1 m=2 r=50%,F1,2,S2,kmeans,0.5,4,all,building,10,75587.99962190933,5872969.4563907655,0.55260319302705563,0.012870490845079578,SF,#54A24B,solid,circle,False
0,6edbb8097bc77054,F3 m=3 r=1%,F3,3,S2,kmeans,0.01,4,all,building,10,674919.8034608966,5872969.4563907655,0.16779767327368758,0.11491968559898977,MF+SF,#B279A2,dashed,square,False
0,cb391d3977990c10,F3 m=3 r=2%,F3,3,S2,kmeans,0.02,4,all,building,10,530679.18433323631,5872969.4563907655,0.17547596078757602,0.090359602288714314,MF+SF,#B279A2,dashed,square,False
0,41a0c11fb367a663,F3 m=3 r=5%,F3,3,S2,kmeans,0.050000000000000003,4,all,building,10,337766.61626516498,5872969.4563907655,0.1999830977657388,0.057512067578968734,MF+SF,#B279A2,dashed,square,False
0,8dc245111c8c0751,F3 m=3 r=10%,F3,3,S2,kmeans,0.10000000000000001,4,all,building,10,238115.79126795803,5872969.4563907655,0.24209203063112605,0.04054436057195028,MF+SF,#B279A2,dashed,square,False
0,bea9a221692984be,F3 m=3 r=20%,F3,3,S2,kmeans,0.20000000000000001,4,all,building,10,150847.75929302612,5872969.4563907655,0.32638368693608905,0.025685091743305206,MF+SF,#B279A2,dashed,square,False
0,b2822fa3c084ca0c,F3 m=3 r=35%,F3,3,S2,kmeans,0.34999999999999998,4,all,building,10,85189.907284811561,5872969.4563907655,0.45256525538489339,0.014505423179429412,MF+SF,#B279A2,dashed,square,False
0,7a575b5bdbd82d08,F3 m=3 r=50%,F3,3,S2,kmeans,0.5,4,all,building,10,48059.490894657072,5872969.4563907655,0.57892065226075817,0.0081831671782934892,MF+SF,#B279A2,dashed,square,False
0,c1795dfd90543d9f,F1 m=3 r=1%,F1,3,S2,kmeans,0.01,4,all,building,10,583721.84458349482,5872969.4563907655,0.16779767327368758,0.09939126176593828,SF,#B279A2,solid,circle,False
0,0dfbc6fb684fecfc,F1 m=3 r=2%,F1,3,S2,kmeans,0.02,4,all,building,10,444883.14736452099,5872969.4563907655,0.17547596078757602,0.075750972428507063,SF,#B279A2,solid,circle,False
0,d8cd672cd8470116,F1 m=3 r=5%,F1,3,S2,kmeans,0.050000000000000003,4,all,building,10,295448.74610167812,5872969.4563907655,0.1999830977657388,0.050306535440973701,SF,#B279A2,solid,circle,False
0,c5565005198482df,F1 m=3 r=10%,F1,3,S2,kmeans,0.10000000000000001,4,all,building,10,215005.84282314798,5872969.4563907655,0.24209203063112605,0.036609392304805186,SF,#B279A2,solid,circle,False
0,9473b128e73baa7f,F1 m=3 r=20%,F1,3,S2,kmeans,0.20000000000000001,4,all,building,10,139529.82890255665,5872969.4563907655,0.32638368693608905,0.023757969446056806,SF,#B279A2,solid,circle,True
0,17e14e38b27d877e,F1 m=3 r=35%,F1,3,S2,kmeans,0.34999999999999998,4,all,building,10,81493.39525540921,5872969.4563907655,0.45256525538489339,0.013876012102656326,SF,#B279A2,solid,circle,False
0,5efbca017834c43c,F1 m=3 r=50%,F1,3,S2,kmeans,0.5,4,all,building,10,47498.634570322072,5872969.4563907655,0.57892065226075817,0.0080876692656107162,SF,#B279A2,solid,circle,False
15,6cd52c9bc8413fd0,F2 m=0 r=1%,F2,0,S2,kmeans,0.01,4,all,building,10,1108797.7971073985,5601164.7013833458,0.011759737012504018,0.19795843475796268,MF,#4C78A8,solid,circle,False
15,c84bdea16f32f98f,F2 m=0 r=2%,F2,0,S2,kmeans,0.02,4,all,building,10,933268.13586178119,5601164.7013833458,0.020877703435246517,0.16662037015824363,MF,#4C78A8,solid,circle,False
15,92509a4487fb049e,F2 m=0 r=5%,F2,0,S2,kmeans,0.050000000000000003,4,all,building,10,720648.52858460881,5601164.7013833458,0.04997992859681482,0.12866047813352585,MF,#4C78A8,solid,circle,False
15,84910c2b0412848d,F2 m=0 r=10%,F2,0,S2,kmeans,0.10000000000000001,4,all,building,10,590474.53707272047,5601164.7013833458,0.099984286374462231,0.10541995612571226,MF,#4C78A8,solid,circle,False
15,031f112e5c4cf361,F2 m=0 r=20%,F2,0,S2,kmeans,0.20000000000000001,4,all,building,10,456209.48341844528,5601164.7013833458,0.20008062823660575,0.081449039216035385,MF,#4C78A8,solid,circle,False
15,3707057ec933dfea,F2 m=0 r=35%,F2,0,S2,kmeans,0.34999999999999998,4,all,building,10,336531.52532343933,5601164.7013833458,0.34992124076956094,0.060082419151203423,MF,#4C78A8,solid,circle,False
15,4acb6086578a45d2,F2 m=0 r=50%,F2,0,S2,kmeans,0.5,4,all,building,10,259728.48310799969,5601164.7013833458,0.49996827455965037,0.046370442033931501,MF,#4C78A8,solid,circle,False
15,910b849b9f88b2ce,F3 m=1 r=1%,F3,1,S2,kmeans,0.01,4,all,building,10,873533.08501272392,5601164.7013833458,0.063772382432898539,0.15595561487363216,MF+SF,#F58518,dashed,square,False
15,eb7cf93e607fec24,F3 m=1 r=2%,F3,1,S2,kmeans,0.02,4,all,building,10,712905.27946034539,5601164.7013833458,0.072410455886023017,0.12727804259786824,MF+SF,#F58518,dashed,square,False
15,2ee080f94d11e0eb,F3 m=1 r=5%,F3,1,S2,kmeans,0.050000000000000003,4,all,building,10,510569.27127446205,5601164.7013833458,0.099980984986456148,0.091154125703242467,MF+SF,#F58518,dashed,square,False
15,1409585c91dc73a1,F3 m=1 r=10%,F3,1,S2,kmeans,0.10000000000000001,4,all,building,10,398099.66002701054,5601164.7013833458,0.14735353446001684,0.071074442772355903,MF+SF,#F58518,dashed,square,False
15,b24801b3365fed68,F3 m=1 r=20%,F3,1,S2,kmeans,0.20000000000000001,4,all,building,10,288203.5849260299,5601164.7013833458,0.24218164780310017,0.051454224307107221,MF+SF,#F58518,dashed,square,False
15,785553f0c30b5763,F3 m=1 r=35%,F3,1,S2,kmeans,0.34999999999999998,4,all,building,10,189486.52807340142,5601164.7013833458,0.38413591230800509,0.033829844001302629,MF+SF,#F58518,dashed,square,False
15,188dc42bd4bc80fd,F3 m=1 r=50%,F3,1,S2,kmeans,0.5,4,all,building,10,124337.12666445354,5601164.7013833458,0.52628573379335308,0.022198441448034088,MF+SF,#F58518,dashed,square,False
15,ecd7558669a1757f,F1 m=1 r=1%,F1,1,S2,kmeans,0.01,4,all,building,10,984952.41690306237,5601164.7013833458,0.063772382432898539,0.17584778691828221,SF,#F58518,solid,circle,False
15,6574c7bb9c60262a,F1 m=1 r=2%,F1,1,S2,kmeans,0.02,4,all,building,10,858350.82543709991,5601164.7013833458,0.072410455886023017,0.1532450608397766,SF,#F58518,solid,circle,False
15,a1a13488340e570a,F1 m=1 r=5%,F1,1,S2,kmeans,0.050000000000000003,4,all,building,10,706296.15884811676,5601164.7013833458,0.099980984986456148,0.12609808789834007,SF,#F58518,solid,circle,False
15,a23e34b2f9a36a6e,F1 m=1 r=10%,F1,1,S2,kmeans,0.10000000000000001,4,all,building,10,620875.34582287865,5601164.7013833458,0.14735353446001684,0.11084754313143803,SF,#F58518,solid,circle,False
