method,metric,latitude,orientation_bin,center_deg,error_band,band_label,count,bin_total,proportion,bottom,red,green,blue,alpha
F1 m=3 r=20%,surface_sensor_wmape,0,6,90,0,0–5%,96,286,0.33566433566433568,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,6,90,1,5–10%,46,286,0.16083916083916083,0.33566433566433568,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,6,90,2,10–15%,28,286,0.097902097902097904,0.49650349650349651,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,6,90,3,15–20%,17,286,0.05944055944055944,0.59440559440559437,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,6,90,4,≥20%,64,286,0.22377622377622378,0.65384615384615385,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,6,90,5,not lit,35,286,0.12237762237762238,0.8776223776223776,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,7,105,0,0–5%,234,611,0.38297872340425532,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,7,105,1,5–10%,81,611,0.132569558101473,0.38297872340425532,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,7,105,2,10–15%,44,611,0.072013093289689037,0.51554828150572829,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,7,105,3,15–20%,22,611,0.036006546644844518,0.58756137479541737,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,7,105,4,≥20%,105,611,0.1718494271685761,0.62356792144026185,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,7,105,5,not lit,125,611,0.20458265139116202,0.79541734860883795,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,8,120,0,0–5%,619,1778,0.34814398200224972,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,8,120,1,5–10%,233,1778,0.13104611923509563,0.34814398200224972,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,8,120,2,10–15%,133,1778,0.074803149606299218,0.47919010123734535,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,8,120,3,15–20%,67,1778,0.03768278965129359,0.55399325084364459,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,8,120,4,≥20%,225,1778,0.12654668166479191,0.59167604049493816,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,8,120,5,not lit,501,1778,0.28177727784026996,0.71822272215973004,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,9,135,0,0–5%,81,188,0.43085106382978722,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,9,135,1,5–10%,27,188,0.14361702127659576,0.43085106382978722,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,9,135,2,10–15%,12,188,0.063829787234042548,0.57446808510638303,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,9,135,3,15–20%,5,188,0.026595744680851064,0.63829787234042556,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,9,135,4,≥20%,26,188,0.13829787234042554,0.66489361702127658,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,9,135,5,not lit,37,188,0.19680851063829788,0.80319148936170215,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,10,150,0,0–5%,179,456,0.39254385964912281,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,10,150,1,5–10%,60,456,0.13157894736842105,0.39254385964912281,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,10,150,2,10–15%,37,456,0.081140350877192985,0.52412280701754388,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,10,150,3,15–20%,16,456,0.035087719298245612,0.60526315789473684,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,10,150,4,≥20%,72,456,0.15789473684210525,0.64035087719298245,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,10,150,5,not lit,92,456,0.20175438596491227,0.79824561403508776,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,11,165,0,0–5%,373,907,0.41124586549062847,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,11,165,1,5–10%,119,907,0.13120176405733186,0.41124586549062847,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,11,165,2,10–15%,42,907,0.046306504961411248,0.54244762954796033,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,11,165,3,15–20%,26,907,0.028665931642778392,0.58875413450937153,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,11,165,4,≥20%,146,907,0.16097023153252479,0.61742006615214995,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,11,165,5,not lit,201,907,0.22160970231532526,0.77839029768467471,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,12,180,0,0–5%,78,276,0.28260869565217389,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,12,180,1,5–10%,23,276,0.083333333333333329,0.28260869565217389,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,12,180,2,10–15%,28,276,0.10144927536231885,0.36594202898550721,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,12,180,3,15–20%,11,276,0.039855072463768113,0.46739130434782605,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,12,180,4,≥20%,84,276,0.30434782608695654,0.50724637681159412,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,12,180,5,not lit,52,276,0.18840579710144928,0.81159420289855067,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,13,195,0,0–5%,299,610,0.49016393442622952,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,13,195,1,5–10%,71,610,0.11639344262295082,0.49016393442622952,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,13,195,2,10–15%,27,610,0.044262295081967211,0.60655737704918034,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,13,195,3,15–20%,15,610,0.024590163934426229,0.65081967213114755,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,13,195,4,≥20%,94,610,0.1540983606557377,0.67540983606557381,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,13,195,5,not lit,104,610,0.17049180327868851,0.82950819672131149,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,14,210,0,0–5%,696,1679,0.41453245979749853,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,14,210,1,5–10%,310,1679,0.18463371054198927,0.41453245979749853,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,14,210,2,10–15%,141,1679,0.083978558665872546,0.59916617033948782,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,14,210,3,15–20%,64,1679,0.038117927337701016,0.68314472900536038,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,14,210,4,≥20%,182,1679,0.10839785586658725,0.72126265634306141,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,14,210,5,not lit,286,1679,0.17033948779035141,0.82966051220964865,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,15,225,0,0–5%,77,197,0.39086294416243655,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,15,225,1,5–10%,31,197,0.15736040609137056,0.39086294416243655,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,15,225,2,10–15%,16,197,0.081218274111675121,0.54822335025380708,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,15,225,3,15–20%,19,197,0.096446700507614211,0.62944162436548223,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,15,225,4,≥20%,36,197,0.18274111675126903,0.7258883248730964,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,15,225,5,not lit,18,197,0.091370558375634514,0.90862944162436543,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,16,240,0,0–5%,182,407,0.44717444717444715,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,16,240,1,5–10%,53,407,0.13022113022113022,0.44717444717444715,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,16,240,2,10–15%,26,407,0.063882063882063883,0.57739557739557734,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,16,240,3,15–20%,27,407,0.066339066339066333,0.6412776412776412,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
F1 m=3 r=20%,surface_sensor_wmape,0,16,240,4,≥20%,76,407,0.18673218673218672,0.70761670761670747,0.73933102652825844,0.088581314878892731,0.15086505190311419,1
F1 m=3 r=20%,surface_sensor_wmape,0,16,240,5,not lit,43,407,0.10565110565110565,0.8943488943488942,0.55000000000000004,0.55000000000000004,0.55000000000000004,1
F1 m=3 r=20%,surface_sensor_wmape,0,17,255,0,0–5%,373,815,0.45766871165644174,0,0.047981545559400242,0.49642445213379471,0.26182237600922725,1
F1 m=3 r=20%,surface_sensor_wmape,0,17,255,1,5–10%,123,815,0.150920245398773,0.45766871165644174,0.5870049980776626,0.82299115724721261,0.40868896578239144,1
F1 m=3 r=20%,surface_sensor_wmape,0,17,255,2,10–15%,56,815,0.068711656441717797,0.60858895705521476,0.99707804690503654,0.99876970396001541,0.74502114571318723,1
F1 m=3 r=20%,surface_sensor_wmape,0,17,255,3,15–20%,26,815,0.031901840490797549,0.6773006134969326,0.9831603229527105,0.61737793156478282,0.35040369088811996,1
