latitude,cost,error,low,high
0,0.011213494565668298,0.29981191936284685,0.29429263980791753,0.30533119891777616
0,0.021120260516054094,0.22561779964829573,0.2228766999430237,0.22835889935356776
0,0.05111625044940402,0.15054991625695738,0.14855000360735976,0.152549828906555
0,0.10105281534334468,0.10715994409995516,0.1060309892127636,0.10828889898714672
0,0.16836575956193478,0.08195479010266783,0.08090873194246137,0.0830008482628743
0,0.1763556445145054,0.07957339417129608,0.07860280577681131,0.08054398256578085
0,0.20110916369368625,0.07382556111981876,0.07303137413710716,0.07461974810253037
0,0.2432079496114384,0.0655427587720911,0.06493562700579927,0.06614989053838294
0,0.3275317002682596,0.05352149822485333,0.053053261316304036,0.053989735133402626
0,0.45373990569429457,0.04126976036918615,0.04074286391461569,0.041796656823756606
0,0.5800794753726597,0.03208080795834491,0.0316812388974423,0.032480377019247525
15,0.011213494565668298,0.30039499311359164,0.2975108842825283,0.30327910194465496
15,0.021120260516054094,0.22996082979522672,0.2276819481719838,0.23223971141846964
15,0.05111625044940402,0.15512937591897183,0.1528857385151736,0.15737301332277007
15,0.10105281534334468,0.11165569071164655,0.10966403755812677,0.11364734386516633
15,0.16836575956193478,0.08471914480028664,0.0838444704844326,0.08559381911614068
15,0.1763556445145054,0.08253421634967388,0.08170315275746949,0.08336527994187827
15,0.20110916369368625,0.07602310814264371,0.07532604764612251,0.0767201686391649
15,0.2432079496114384,0.06757250915024654,0.06692151440038373,0.06822350390010935
15,0.3275317002682596,0.05503356816125111,0.05457405279220195,0.05549308353030027
15,0.45373990569429457,0.04189158987956858,0.04149075266499074,0.04229242709414641
15,0.5800794753726597,0.03252644396338704,0.032120634408593904,0.032932253518180174
30,0.011213494565668298,0.3239974567696056,0.3213799683229319,0.3266149452162793
30,0.021120260516054094,0.24610321221891177,0.24422301668911225,0.24798340774871128
30,0.05111625044940402,0.16653244138533538,0.16448149156822509,0.16858339120244567
30,0.10105281534334468,0.1196504549437572,0.11853541693760346,0.12076549294991094
30,0.16836575956193478,0.09045378457712618,0.0897262872908627,0.09118128186338965
30,0.1763556445145054,0.08816898452892069,0.08748872543330623,0.08884924362453515
30,0.20110916369368625,0.08132629853365238,0.08082109224472875,0.081831504822576
30,0.2432079496114384,0.07225253909814225,0.07165433734424086,0.07285074085204364
30,0.3275317002682596,0.05882825391577707,0.058251153156769826,0.05940535467478431
30,0.45373990569429457,0.04496810990326158,0.044482661175864815,0.04545355863065835
30,0.5800794753726597,0.03460321550103727,0.034264268589163926,0.03494216241291061
45,0.011213494565668298,0.36133535173507497,0.35345379199268145,0.3692169114774685
45,0.021120260516054094,0.2745940345983247,0.27024622290835115,0.27894184628829827
45,0.05111625044940402,0.18467449200339903,0.1820641624221899,0.18728482158460816
45,0.10105281534334468,0.13258034811777727,0.13082815112380844,0.1343325451117461
45,0.16836575956193478,0.09998099055949371,0.09873091102644439,0.10123107009254302
45,0.1763556445145054,0.09752690935374364,0.09637583391601967,0.09867798479146761
45,0.20110916369368625,0.09011580201540419,0.08915110520600583,0.09108049882480254
45,0.2432079496114384,0.07999226942614898,0.07924402190100308,0.08074051695129489
45,0.3275317002682596,0.06480800716493607,0.0641682826713145,0.06544773165855763
45,0.45373990569429457,0.04979327730056051,0.049293544864065626,0.050293009737055396
45,0.5800794753726597,0.038633518782406534,0.038313283056614654,0.038953754508198414
60,0.011213494565668298,0.4027701679620464,0.39234111797426197,0.41319921794983083
60,0.021120260516054094,0.3097044341283648,0.3026212053939094,0.3167876628628202
60,0.05111625044940402,0.20802688776354125,0.2046566642064104,0.2113971113206721
60,0.10105281534334468,0.14848043699358213,0.146521143236627,0.15043973075053726
60,0.16836575956193478,0.11148597368939711,0.11031740677363265,0.11265454060516157
60,0.1763556445145054,0.10861771487659694,0.10742783469841165,0.10980759505478223
60,0.20110916369368625,0.1000104936932222,0.09903143498480203,0.10098955240164235
60,0.2432079496114384,0.08864971457953477,0.08802217528638905,0.0892772538726805
60,0.3275317002682596,0.0720358594893277,0.07147573458784436,0.07259598439081104
60,0.45373990569429457,0.05533573006586345,0.05477384506301785,0.05589761506870906
60,0.5800794753726597,0.043456767739626916,0.04294541855498571,0.04396811692426812
