latitude,direction,band,label,count,total,proportion,bottom,color
15,270,3,15–20%,18,265,0.06792452830188679,0.5509433962264151,"rgb(251,157,89)"
15,270,4,≥20%,68,265,0.25660377358490566,0.6188679245283019,"rgb(189,23,38)"
15,270,5,not lit,33,265,0.12452830188679245,0.8754716981132076,"rgb(140,140,140)"
15,285,0,0–5%,268,609,0.4400656814449918,0,"rgb(12,127,67)"
15,285,1,5–10%,82,609,0.13464696223316913,0.4400656814449918,"rgb(150,210,104)"
15,285,2,10–15%,40,609,0.06568144499178982,0.5747126436781609,"rgb(254,255,190)"
15,285,3,15–20%,24,609,0.03940886699507389,0.6403940886699507,"rgb(251,157,89)"
15,285,4,≥20%,98,609,0.16091954022988506,0.6798029556650246,"rgb(189,23,38)"
15,285,5,not lit,97,609,0.1592775041050903,0.8407224958949097,"rgb(140,140,140)"
15,300,0,0–5%,588,1781,0.33015160022459294,0,"rgb(12,127,67)"
15,300,1,5–10%,282,1781,0.15833801235261089,0.33015160022459294,"rgb(150,210,104)"
15,300,2,10–15%,150,1781,0.08422234699606962,0.4884896125772038,"rgb(254,255,190)"
15,300,3,15–20%,90,1781,0.05053340819764177,0.5727119595732735,"rgb(251,157,89)"
15,300,4,≥20%,208,1781,0.11678832116788321,0.6232453677709152,"rgb(189,23,38)"
15,300,5,not lit,463,1781,0.25996631106120155,0.7400336889387984,"rgb(140,140,140)"
15,315,0,0–5%,55,190,0.2894736842105263,0,"rgb(12,127,67)"
15,315,1,5–10%,38,190,0.2,0.2894736842105263,"rgb(150,210,104)"
15,315,2,10–15%,21,190,0.11052631578947368,0.48947368421052634,"rgb(254,255,190)"
15,315,3,15–20%,14,190,0.07368421052631578,0.6,"rgb(251,157,89)"
15,315,4,≥20%,38,190,0.2,0.6736842105263158,"rgb(189,23,38)"
15,315,5,not lit,24,190,0.12631578947368421,0.8736842105263158,"rgb(140,140,140)"
15,330,0,0–5%,130,442,0.29411764705882354,0,"rgb(12,127,67)"
15,330,1,5–10%,65,442,0.14705882352941177,0.29411764705882354,"rgb(150,210,104)"
15,330,2,10–15%,39,442,0.08823529411764706,0.4411764705882353,"rgb(254,255,190)"
15,330,3,15–20%,24,442,0.05429864253393665,0.5294117647058824,"rgb(251,157,89)"
15,330,4,≥20%,89,442,0.20135746606334842,0.583710407239819,"rgb(189,23,38)"
15,330,5,not lit,95,442,0.2149321266968326,0.7850678733031675,"rgb(140,140,140)"
15,345,0,0–5%,330,924,0.35714285714285715,0,"rgb(12,127,67)"
15,345,1,5–10%,146,924,0.15800865800865802,0.35714285714285715,"rgb(150,210,104)"
15,345,2,10–15%,62,924,0.0670995670995671,0.5151515151515151,"rgb(254,255,190)"
15,345,3,15–20%,48,924,0.05194805194805195,0.5822510822510822,"rgb(251,157,89)"
15,345,4,≥20%,133,924,0.14393939393939395,0.6341991341991342,"rgb(189,23,38)"
15,345,5,not lit,205,924,0.22186147186147187,0.7781385281385281,"rgb(140,140,140)"
30,0,0,0–5%,61,290,0.2103448275862069,0,"rgb(12,127,67)"
30,0,1,5–10%,29,290,0.1,0.2103448275862069,"rgb(150,210,104)"
30,0,2,10–15%,24,290,0.08275862068965517,0.3103448275862069,"rgb(254,255,190)"
30,0,3,15–20%,16,290,0.05517241379310345,0.3931034482758621,"rgb(251,157,89)"
30,0,4,≥20%,101,290,0.3482758620689655,0.4482758620689655,"rgb(189,23,38)"
30,0,5,not lit,59,290,0.20344827586206896,0.796551724137931,"rgb(140,140,140)"
30,15,0,0–5%,185,637,0.2904238618524333,0,"rgb(12,127,67)"
30,15,1,5–10%,87,637,0.13657770800627944,0.2904238618524333,"rgb(150,210,104)"
30,15,2,10–15%,63,637,0.0989010989010989,0.42700156985871274,"rgb(254,255,190)"
30,15,3,15–20%,42,637,0.06593406593406594,0.5259026687598116,"rgb(251,157,89)"
30,15,4,≥20%,169,637,0.2653061224489796,0.5918367346938775,"rgb(189,23,38)"
30,15,5,not lit,91,637,0.14285714285714285,0.8571428571428572,"rgb(140,140,140)"
30,30,0,0–5%,464,1703,0.2724603640634175,0,"rgb(12,127,67)"
30,30,1,5–10%,315,1703,0.1849677040516735,0.2724603640634175,"rgb(150,210,104)"
30,30,2,10–15%,179,1703,0.10510863182618908,0.457428068115091,"rgb(254,255,190)"
30,30,3,15–20%,92,1703,0.0540223135642983,0.5625366999412801,"rgb(251,157,89)"
30,30,4,≥20%,319,1703,0.18731650029359953,0.6165590135055784,"rgb(189,23,38)"
30,30,5,not lit,334,1703,0.19612448620082207,0.803875513799178,"rgb(140,140,140)"
30,45,0,0–5%,58,187,0.31016042780748665,0,"rgb(12,127,67)"
30,45,1,5–10%,29,187,0.15508021390374332,0.31016042780748665,"rgb(150,210,104)"
30,45,2,10–15%,21,187,0.11229946524064172,0.46524064171123,"rgb(254,255,190)"
30,45,3,15–20%,12,187,0.06417112299465241,0.5775401069518717,"rgb(251,157,89)"
30,45,4,≥20%,39,187,0.20855614973262032,0.6417112299465242,"rgb(189,23,38)"
30,45,5,not lit,28,187,0.1497326203208556,0.8502673796791445,"rgb(140,140,140)"
30,60,0,0–5%,184,412,0.44660194174757284,0,"rgb(12,127,67)"
30,60,1,5–10%,47,412,0.11407766990291263,0.44660194174757284,"rgb(150,210,104)"
30,60,2,10–15%,21,412,0.050970873786407765,0.5606796116504855,"rgb(254,255,190)"
30,60,3,15–20%,19,412,0.04611650485436893,0.6116504854368933,"rgb(251,157,89)"
30,60,4,≥20%,85,412,0.20631067961165048,0.6577669902912622,"rgb(189,23,38)"
30,60,5,not lit,56,412,0.13592233009708737,0.8640776699029127,"rgb(140,140,140)"
30,75,0,0–5%,355,826,0.4297820823244552,0,"rgb(12,127,67)"
30,75,1,5–10%,105,826,0.1271186440677966,0.4297820823244552,"rgb(150,210,104)"
30,75,2,10–15%,59,826,0.07142857142857142,0.5569007263922519,"rgb(254,255,190)"
30,75,3,15–20%,34,826,0.04116222760290557,0.6283292978208233,"rgb(251,157,89)"
30,75,4,≥20%,189,826,0.2288135593220339,0.6694915254237288,"rgb(189,23,38)"
30,75,5,not lit,84,826,0.1016949152542373,0.8983050847457628,"rgb(140,140,140)"
30,90,0,0–5%,87,286,0.3041958041958042,0,"rgb(12,127,67)"
30,90,1,5–10%,48,286,0.16783216783216784,0.3041958041958042,"rgb(150,210,104)"
30,90,2,10–15%,31,286,0.10839160839160839,0.4720279720279721,"rgb(254,255,190)"
30,90,3,15–20%,13,286,0.045454545454545456,0.5804195804195804,"rgb(251,157,89)"
30,90,4,≥20%,71,286,0.24825174825174826,0.6258741258741258,"rgb(189,23,38)"
30,90,5,not lit,36,286,0.1258741258741259,0.8741258741258741,"rgb(140,140,140)"
30,105,0,0–5%,236,611,0.3862520458265139,0,"rgb(12,127,67)"
30,105,1,5–10%,74,611,0.12111292962356793,0.3862520458265139,"rgb(150,210,104)"
30,105,2,10–15%,52,611,0.0851063829787234,0.5073649754500819,"rgb(254,255,190)"
30,105,3,15–20%,26,611,0.0425531914893617,0.5924713584288053,"rgb(251,157,89)"
30,105,4,≥20%,101,611,0.16530278232405893,0.6350245499181669,"rgb(189,23,38)"
30,105,5,not lit,122,611,0.19967266775777415,0.8003273322422259,"rgb(140,140,140)"
30,120,0,0–5%,627,1778,0.3526434195725534,0,"rgb(12,127,67)"
30,120,1,5–10%,240,1778,0.13498312710911137,0.3526434195725534,"rgb(150,210,104)"
30,120,2,10–15%,127,1778,0.07142857142857142,0.4876265466816648,"rgb(254,255,190)"
30,120,3,15–20%,73,1778,0.04105736782902137,0.5590551181102362,"rgb(251,157,89)"
30,120,4,≥20%,211,1778,0.1186726659167604,0.6001124859392576,"rgb(189,23,38)"
30,120,5,not lit,500,1778,0.281214848143982,0.718785151856018,"rgb(140,140,140)"
30,135,0,0–5%,81,188,0.4308510638297872,0,"rgb(12,127,67)"
30,135,1,5–10%,33,188,0.17553191489361702,0.4308510638297872,"rgb(150,210,104)"
30,135,2,10–15%,7,188,0.03723404255319149,0.6063829787234043,"rgb(254,255,190)"
30,135,3,15–20%,6,188,0.031914893617021274,0.6436170212765958,"rgb(251,157,89)"
30,135,4,≥20%,24,188,0.1276595744680851,0.6755319148936171,"rgb(189,23,38)"
30,135,5,not lit,37,188,0.19680851063829788,0.8031914893617021,"rgb(140,140,140)"
30,150,0,0–5%,194,456,0.42543859649122806,0,"rgb(12,127,67)"
30,150,1,5–10%,52,456,0.11403508771929824,0.42543859649122806,"rgb(150,210,104)"
30,150,2,10–15%,30,456,0.06578947368421052,0.5394736842105263,"rgb(254,255,190)"
30,150,3,15–20%,25,456,0.05482456140350877,0.6052631578947368,"rgb(251,157,89)"
30,150,4,≥20%,58,456,0.12719298245614036,0.6600877192982456,"rgb(189,23,38)"
30,150,5,not lit,97,456,0.21271929824561403,0.7872807017543859,"rgb(140,140,140)"
30,165,0,0–5%,396,907,0.43660418963616315,0,"rgb(12,127,67)"
30,165,1,5–10%,107,907,0.11797133406835722,0.43660418963616315,"rgb(150,210,104)"
