latitude,direction,band,label,count,total,proportion,bottom,color
45,15,3,15–20%,38,637,0.059654631083202514,0.3893249607535322,"rgb(251,157,89)"
45,15,4,≥20%,225,637,0.3532182103610675,0.4489795918367347,"rgb(189,23,38)"
45,15,5,not lit,126,637,0.1978021978021978,0.8021978021978022,"rgb(140,140,140)"
45,30,0,0–5%,370,1703,0.2172636523781562,0,"rgb(12,127,67)"
45,30,1,5–10%,258,1703,0.15149735760422783,0.2172636523781562,"rgb(150,210,104)"
45,30,2,10–15%,194,1703,0.11391661773341162,0.36876100998238404,"rgb(254,255,190)"
45,30,3,15–20%,112,1703,0.06576629477392835,0.48267762771579564,"rgb(251,157,89)"
45,30,4,≥20%,403,1703,0.2366412213740458,0.548443922489724,"rgb(189,23,38)"
45,30,5,not lit,366,1703,0.21491485613623018,0.7850851438637698,"rgb(140,140,140)"
45,45,0,0–5%,43,187,0.22994652406417113,0,"rgb(12,127,67)"
45,45,1,5–10%,38,187,0.20320855614973263,0.22994652406417113,"rgb(150,210,104)"
45,45,2,10–15%,12,187,0.06417112299465241,0.43315508021390375,"rgb(254,255,190)"
45,45,3,15–20%,24,187,0.12834224598930483,0.49732620320855614,"rgb(251,157,89)"
45,45,4,≥20%,40,187,0.21390374331550802,0.625668449197861,"rgb(189,23,38)"
45,45,5,not lit,30,187,0.16042780748663102,0.839572192513369,"rgb(140,140,140)"
45,60,0,0–5%,153,412,0.3713592233009709,0,"rgb(12,127,67)"
45,60,1,5–10%,57,412,0.1383495145631068,0.3713592233009709,"rgb(150,210,104)"
45,60,2,10–15%,24,412,0.05825242718446602,0.5097087378640777,"rgb(254,255,190)"
45,60,3,15–20%,23,412,0.055825242718446605,0.5679611650485437,"rgb(251,157,89)"
45,60,4,≥20%,92,412,0.22330097087378642,0.6237864077669902,"rgb(189,23,38)"
45,60,5,not lit,63,412,0.1529126213592233,0.8470873786407767,"rgb(140,140,140)"
45,75,0,0–5%,312,826,0.37772397094430993,0,"rgb(12,127,67)"
45,75,1,5–10%,118,826,0.14285714285714285,0.37772397094430993,"rgb(150,210,104)"
45,75,2,10–15%,73,826,0.08837772397094432,0.5205811138014528,"rgb(254,255,190)"
45,75,3,15–20%,43,826,0.05205811138014528,0.6089588377723971,"rgb(251,157,89)"
45,75,4,≥20%,189,826,0.2288135593220339,0.6610169491525424,"rgb(189,23,38)"
45,75,5,not lit,91,826,0.11016949152542373,0.8898305084745763,"rgb(140,140,140)"
45,90,0,0–5%,74,286,0.25874125874125875,0,"rgb(12,127,67)"
45,90,1,5–10%,46,286,0.16083916083916083,0.25874125874125875,"rgb(150,210,104)"
45,90,2,10–15%,35,286,0.12237762237762238,0.4195804195804196,"rgb(254,255,190)"
45,90,3,15–20%,17,286,0.05944055944055944,0.541958041958042,"rgb(251,157,89)"
45,90,4,≥20%,78,286,0.2727272727272727,0.6013986013986015,"rgb(189,23,38)"
45,90,5,not lit,36,286,0.1258741258741259,0.8741258741258742,"rgb(140,140,140)"
45,105,0,0–5%,202,611,0.33060556464811786,0,"rgb(12,127,67)"
45,105,1,5–10%,86,611,0.1407528641571195,0.33060556464811786,"rgb(150,210,104)"
45,105,2,10–15%,55,611,0.09001636661211129,0.4713584288052374,"rgb(254,255,190)"
45,105,3,15–20%,31,611,0.05073649754500818,0.5613747954173487,"rgb(251,157,89)"
45,105,4,≥20%,112,611,0.18330605564648117,0.6121112929623569,"rgb(189,23,38)"
45,105,5,not lit,125,611,0.20458265139116202,0.7954173486088381,"rgb(140,140,140)"
45,120,0,0–5%,598,1778,0.3363329583802025,0,"rgb(12,127,67)"
45,120,1,5–10%,222,1778,0.12485939257592801,0.3363329583802025,"rgb(150,210,104)"
45,120,2,10–15%,134,1778,0.07536557930258718,0.46119235095613054,"rgb(254,255,190)"
45,120,3,15–20%,88,1778,0.049493813273340834,0.5365579302587177,"rgb(251,157,89)"
45,120,4,≥20%,252,1778,0.14173228346456693,0.5860517435320585,"rgb(189,23,38)"
45,120,5,not lit,484,1778,0.2722159730033746,0.7277840269966254,"rgb(140,140,140)"
45,135,0,0–5%,70,188,0.3723404255319149,0,"rgb(12,127,67)"
45,135,1,5–10%,33,188,0.17553191489361702,0.3723404255319149,"rgb(150,210,104)"
45,135,2,10–15%,12,188,0.06382978723404255,0.5478723404255319,"rgb(254,255,190)"
45,135,3,15–20%,6,188,0.031914893617021274,0.6117021276595744,"rgb(251,157,89)"
45,135,4,≥20%,28,188,0.14893617021276595,0.6436170212765957,"rgb(189,23,38)"
45,135,5,not lit,39,188,0.2074468085106383,0.7925531914893617,"rgb(140,140,140)"
45,150,0,0–5%,169,456,0.3706140350877193,0,"rgb(12,127,67)"
45,150,1,5–10%,61,456,0.1337719298245614,0.3706140350877193,"rgb(150,210,104)"
45,150,2,10–15%,41,456,0.08991228070175439,0.5043859649122807,"rgb(254,255,190)"
45,150,3,15–20%,23,456,0.05043859649122807,0.5942982456140351,"rgb(251,157,89)"
45,150,4,≥20%,66,456,0.14473684210526316,0.6447368421052632,"rgb(189,23,38)"
45,150,5,not lit,96,456,0.21052631578947367,0.7894736842105263,"rgb(140,140,140)"
45,165,0,0–5%,359,907,0.3958103638368247,0,"rgb(12,127,67)"
45,165,1,5–10%,107,907,0.11797133406835722,0.3958103638368247,"rgb(150,210,104)"
45,165,2,10–15%,65,907,0.07166482910694598,0.5137816979051819,"rgb(254,255,190)"
45,165,3,15–20%,29,907,0.03197353914002205,0.5854465270121278,"rgb(251,157,89)"
45,165,4,≥20%,137,907,0.15104740904079383,0.61742006615215,"rgb(189,23,38)"
45,165,5,not lit,210,907,0.23153252480705622,0.7684674751929438,"rgb(140,140,140)"
45,180,0,0–5%,84,276,0.30434782608695654,0,"rgb(12,127,67)"
45,180,1,5–10%,36,276,0.13043478260869565,0.30434782608695654,"rgb(150,210,104)"
45,180,2,10–15%,23,276,0.08333333333333333,0.4347826086956522,"rgb(254,255,190)"
45,180,3,15–20%,14,276,0.050724637681159424,0.5181159420289856,"rgb(251,157,89)"
45,180,4,≥20%,66,276,0.2391304347826087,0.568840579710145,"rgb(189,23,38)"
45,180,5,not lit,53,276,0.19202898550724637,0.8079710144927537,"rgb(140,140,140)"
45,195,0,0–5%,283,610,0.4639344262295082,0,"rgb(12,127,67)"
45,195,1,5–10%,89,610,0.14590163934426228,0.4639344262295082,"rgb(150,210,104)"
45,195,2,10–15%,39,610,0.06393442622950819,0.6098360655737705,"rgb(254,255,190)"
45,195,3,15–20%,21,610,0.03442622950819672,0.6737704918032786,"rgb(251,157,89)"
45,195,4,≥20%,76,610,0.12459016393442623,0.7081967213114754,"rgb(189,23,38)"
45,195,5,not lit,102,610,0.16721311475409836,0.8327868852459016,"rgb(140,140,140)"
45,210,0,0–5%,651,1679,0.38773079213817746,0,"rgb(12,127,67)"
45,210,1,5–10%,321,1679,0.19118522930315665,0.38773079213817746,"rgb(150,210,104)"
45,210,2,10–15%,149,1679,0.08874329958308518,0.5789160214413341,"rgb(254,255,190)"
45,210,3,15–20%,71,1679,0.04228707564026206,0.6676593210244193,"rgb(251,157,89)"
45,210,4,≥20%,188,1679,0.11197141155449672,0.7099463966646813,"rgb(189,23,38)"
45,210,5,not lit,299,1679,0.1780821917808219,0.821917808219178,"rgb(140,140,140)"
45,225,0,0–5%,82,197,0.41624365482233505,0,"rgb(12,127,67)"
45,225,1,5–10%,27,197,0.13705583756345177,0.41624365482233505,"rgb(150,210,104)"
45,225,2,10–15%,24,197,0.1218274111675127,0.5532994923857868,"rgb(254,255,190)"
45,225,3,15–20%,13,197,0.06598984771573604,0.6751269035532995,"rgb(251,157,89)"
45,225,4,≥20%,32,197,0.16243654822335024,0.7411167512690355,"rgb(189,23,38)"
45,225,5,not lit,19,197,0.09644670050761421,0.9035532994923858,"rgb(140,140,140)"
45,240,0,0–5%,159,407,0.3906633906633907,0,"rgb(12,127,67)"
45,240,1,5–10%,57,407,0.14004914004914004,0.3906633906633907,"rgb(150,210,104)"
45,240,2,10–15%,29,407,0.07125307125307126,0.5307125307125307,"rgb(254,255,190)"
45,240,3,15–20%,19,407,0.04668304668304668,0.6019656019656019,"rgb(251,157,89)"
45,240,4,≥20%,95,407,0.2334152334152334,0.6486486486486486,"rgb(189,23,38)"
45,240,5,not lit,48,407,0.11793611793611794,0.882063882063882,"rgb(140,140,140)"
45,255,0,0–5%,346,815,0.4245398773006135,0,"rgb(12,127,67)"
45,255,1,5–10%,115,815,0.1411042944785276,0.4245398773006135,"rgb(150,210,104)"
45,255,2,10–15%,68,815,0.0834355828220859,0.5656441717791411,"rgb(254,255,190)"
45,255,3,15–20%,36,815,0.044171779141104296,0.6490797546012269,"rgb(251,157,89)"
45,255,4,≥20%,157,815,0.19263803680981595,0.6932515337423312,"rgb(189,23,38)"
45,255,5,not lit,93,815,0.11411042944785275,0.8858895705521471,"rgb(140,140,140)"
45,270,0,0–5%,68,265,0.25660377358490566,0,"rgb(12,127,67)"
45,270,1,5–10%,32,265,0.12075471698113208,0.25660377358490566,"rgb(150,210,104)"
45,270,2,10–15%,31,265,0.1169811320754717,0.37735849056603776,"rgb(254,255,190)"
45,270,3,15–20%,18,265,0.06792452830188679,0.49433962264150944,"rgb(251,157,89)"
45,270,4,≥20%,81,265,0.30566037735849055,0.5622641509433962,"rgb(189,23,38)"
45,270,5,not lit,35,265,0.1320754716981132,0.8679245283018868,"rgb(140,140,140)"
45,285,0,0–5%,195,609,0.32019704433497537,0,"rgb(12,127,67)"
45,285,1,5–10%,93,609,0.15270935960591134,0.32019704433497537,"rgb(150,210,104)"
45,285,2,10–15%,57,609,0.09359605911330049,0.4729064039408867,"rgb(254,255,190)"
45,285,3,15–20%,26,609,0.042692939244663386,0.5665024630541872,"rgb(251,157,89)"
45,285,4,≥20%,132,609,0.21674876847290642,0.6091954022988506,"rgb(189,23,38)"
45,285,5,not lit,106,609,0.17405582922824303,0.825944170771757,"rgb(140,140,140)"
45,300,0,0–5%,430,1781,0.24143739472206627,0,"rgb(12,127,67)"
45,300,1,5–10%,239,1781,0.13419427288040428,0.24143739472206627,"rgb(150,210,104)"
45,300,2,10–15%,154,1781,0.08646827624929815,0.3756316676024706,"rgb(254,255,190)"
45,300,3,15–20%,100,1781,0.05614823133071308,0.4620999438517687,"rgb(251,157,89)"
45,300,4,≥20%,299,1781,0.1678832116788321,0.5182481751824818,"rgb(189,23,38)"
45,300,5,not lit,559,1781,0.31386861313868614,0.6861313868613139,"rgb(140,140,140)"
45,315,0,0–5%,38,190,0.2,0,"rgb(12,127,67)"
45,315,1,5–10%,24,190,0.12631578947368421,0.2,"rgb(150,210,104)"
45,315,2,10–15%,18,190,0.09473684210526316,0.3263157894736842,"rgb(254,255,190)"
45,315,3,15–20%,15,190,0.07894736842105263,0.4210526315789474,"rgb(251,157,89)"
45,315,4,≥20%,64,190,0.3368421052631579,0.5,"rgb(189,23,38)"
45,315,5,not lit,31,190,0.1631578947368421,0.8368421052631578,"rgb(140,140,140)"
45,330,0,0–5%,61,442,0.13800904977375567,0,"rgb(12,127,67)"
45,330,1,5–10%,39,442,0.08823529411764706,0.13800904977375567,"rgb(150,210,104)"
45,330,2,10–15%,33,442,0.0746606334841629,0.22624434389140274,"rgb(254,255,190)"
45,330,3,15–20%,30,442,0.06787330316742081,0.30090497737556565,"rgb(251,157,89)"
45,330,4,≥20%,161,442,0.36425339366515835,0.36877828054298645,"rgb(189,23,38)"
45,330,5,not lit,118,442,0.2669683257918552,0.7330316742081449,"rgb(140,140,140)"
45,345,0,0–5%,148,924,0.16017316017316016,0,"rgb(12,127,67)"
45,345,1,5–10%,68,924,0.0735930735930736,0.16017316017316016,"rgb(150,210,104)"
45,345,2,10–15%,62,924,0.0670995670995671,0.23376623376623376,"rgb(254,255,190)"
45,345,3,15–20%,50,924,0.05411255411255411,0.30086580086580084,"rgb(251,157,89)"
45,345,4,≥20%,320,924,0.3463203463203463,0.35497835497835495,"rgb(189,23,38)"
45,345,5,not lit,276,924,0.2987012987012987,0.7012987012987013,"rgb(140,140,140)"
60,0,0,0–5%,27,290,0.09310344827586207,0,"rgb(12,127,67)"
60,0,1,5–10%,27,290,0.09310344827586207,0.09310344827586207,"rgb(150,210,104)"
60,0,2,10–15%,20,290,0.06896551724137931,0.18620689655172415,"rgb(254,255,190)"
60,0,3,15–20%,19,290,0.06551724137931035,0.25517241379310346,"rgb(251,157,89)"
60,0,4,≥20%,112,290,0.38620689655172413,0.3206896551724138,"rgb(189,23,38)"
60,0,5,not lit,85,290,0.29310344827586204,0.7068965517241379,"rgb(140,140,140)"
60,15,0,0–5%,90,637,0.141287284144427,0,"rgb(12,127,67)"
60,15,1,5–10%,63,637,0.0989010989010989,0.141287284144427,"rgb(150,210,104)"
60,15,2,10–15%,55,637,0.08634222919937205,0.24018838304552592,"rgb(254,255,190)"
60,15,3,15–20%,43,637,0.06750392464678179,0.326530612244898,"rgb(251,157,89)"
60,15,4,≥20%,245,637,0.38461538461538464,0.3940345368916798,"rgb(189,23,38)"
60,15,5,not lit,141,637,0.22135007849293564,0.7786499215070644,"rgb(140,140,140)"
60,30,0,0–5%,251,1703,0.1473869641808573,0,"rgb(12,127,67)"
60,30,1,5–10%,239,1703,0.14034057545507928,0.1473869641808573,"rgb(150,210,104)"
60,30,2,10–15%,220,1703,0.12918379330593072,0.28772753963593656,"rgb(254,255,190)"
60,30,3,15–20%,117,1703,0.06870229007633588,0.4169113329418673,"rgb(251,157,89)"
60,30,4,≥20%,448,1703,0.2630651790957134,0.48561362301820316,"rgb(189,23,38)"
60,30,5,not lit,428,1703,0.25132119788608337,0.7486788021139166,"rgb(140,140,140)"
60,45,0,0–5%,31,187,0.1657754010695187,0,"rgb(12,127,67)"
60,45,1,5–10%,31,187,0.1657754010695187,0.1657754010695187,"rgb(150,210,104)"
60,45,2,10–15%,18,187,0.0962566844919786,0.3315508021390374,"rgb(254,255,190)"
60,45,3,15–20%,13,187,0.06951871657754011,0.42780748663101603,"rgb(251,157,89)"
60,45,4,≥20%,57,187,0.3048128342245989,0.49732620320855614,"rgb(189,23,38)"
60,45,5,not lit,37,187,0.19786096256684493,0.8021390374331551,"rgb(140,140,140)"
60,60,0,0–5%,134,412,0.32524271844660196,0,"rgb(12,127,67)"
60,60,1,5–10%,52,412,0.1262135922330097,0.32524271844660196,"rgb(150,210,104)"
60,60,2,10–15%,30,412,0.07281553398058252,0.45145631067961167,"rgb(254,255,190)"
60,60,3,15–20%,16,412,0.038834951456310676,0.5242718446601942,"rgb(251,157,89)"
60,60,4,≥20%,114,412,0.2766990291262136,0.5631067961165048,"rgb(189,23,38)"
60,60,5,not lit,66,412,0.16019417475728157,0.8398058252427184,"rgb(140,140,140)"
60,75,0,0–5%,247,826,0.2990314769975787,0,"rgb(12,127,67)"
60,75,1,5–10%,114,826,0.13801452784503632,0.2990314769975787,"rgb(150,210,104)"
60,75,2,10–15%,83,826,0.10048426150121065,0.437046004842615,"rgb(254,255,190)"
60,75,3,15–20%,33,826,0.039951573849878935,0.5375302663438257,"rgb(251,157,89)"
60,75,4,≥20%,243,826,0.29418886198547217,0.5774818401937046,"rgb(189,23,38)"
60,75,5,not lit,106,826,0.12832929782082325,0.8716707021791767,"rgb(140,140,140)"
60,90,0,0–5%,59,286,0.2062937062937063,0,"rgb(12,127,67)"
60,90,1,5–10%,40,286,0.13986013986013987,0.2062937062937063,"rgb(150,210,104)"
60,90,2,10–15%,31,286,0.10839160839160839,0.34615384615384615,"rgb(254,255,190)"
60,90,3,15–20%,18,286,0.06293706293706294,0.45454545454545453,"rgb(251,157,89)"
60,90,4,≥20%,101,286,0.3531468531468531,0.5174825174825175,"rgb(189,23,38)"
60,90,5,not lit,37,286,0.12937062937062938,0.8706293706293706,"rgb(140,140,140)"
60,105,0,0–5%,183,611,0.2995090016366612,0,"rgb(12,127,67)"
60,105,1,5–10%,84,611,0.13747954173486088,0.2995090016366612,"rgb(150,210,104)"
60,105,2,10–15%,58,611,0.09492635024549918,0.4369885433715221,"rgb(254,255,190)"
60,105,3,15–20%,33,611,0.054009819967266774,0.5319148936170213,"rgb(251,157,89)"
60,105,4,≥20%,119,611,0.19476268412438624,0.585924713584288,"rgb(189,23,38)"
60,105,5,not lit,134,611,0.2193126022913257,0.7806873977086742,"rgb(140,140,140)"
60,120,0,0–5%,510,1778,0.28683914510686165,0,"rgb(12,127,67)"
60,120,1,5–10%,240,1778,0.13498312710911137,0.28683914510686165,"rgb(150,210,104)"
60,120,2,10–15%,142,1778,0.0798650168728909,0.421822272215973,"rgb(254,255,190)"
60,120,3,15–20%,80,1778,0.04499437570303712,0.501687289088864,"rgb(251,157,89)"
60,120,4,≥20%,273,1778,0.15354330708661418,0.5466816647919011,"rgb(189,23,38)"
60,120,5,not lit,533,1778,0.2997750281214848,0.7002249718785152,"rgb(140,140,140)"
60,135,0,0–5%,67,188,0.35638297872340424,0,"rgb(12,127,67)"
60,135,1,5–10%,35,188,0.18617021276595744,0.35638297872340424,"rgb(150,210,104)"
60,135,2,10–15%,8,188,0.0425531914893617,0.5425531914893617,"rgb(254,255,190)"
60,135,3,15–20%,8,188,0.0425531914893617,0.5851063829787233,"rgb(251,157,89)"
60,135,4,≥20%,31,188,0.16489361702127658,0.627659574468085,"rgb(189,23,38)"
60,135,5,not lit,39,188,0.2074468085106383,0.7925531914893615,"rgb(140,140,140)"
60,150,0,0–5%,155,456,0.3399122807017544,0,"rgb(12,127,67)"
60,150,1,5–10%,61,456,0.1337719298245614,0.3399122807017544,"rgb(150,210,104)"
60,150,2,10–15%,33,456,0.07236842105263158,0.4736842105263158,"rgb(254,255,190)"
60,150,3,15–20%,10,456,0.021929824561403508,0.5460526315789473,"rgb(251,157,89)"
60,150,4,≥20%,91,456,0.19956140350877194,0.5679824561403508,"rgb(189,23,38)"
60,150,5,not lit,106,456,0.2324561403508772,0.7675438596491228,"rgb(140,140,140)"
60,165,0,0–5%,300,907,0.33076074972436603,0,"rgb(12,127,67)"
60,165,1,5–10%,128,907,0.14112458654906285,0.33076074972436603,"rgb(150,210,104)"
60,165,2,10–15%,62,907,0.06835722160970231,0.4718853362734289,"rgb(254,255,190)"
60,165,3,15–20%,32,907,0.03528114663726571,0.5402425578831311,"rgb(251,157,89)"
60,165,4,≥20%,170,907,0.1874310915104741,0.5755237045203968,"rgb(189,23,38)"
60,165,5,not lit,215,907,0.237045203969129,0.7629547960308709,"rgb(140,140,140)"
60,180,0,0–5%,70,276,0.2536231884057971,0,"rgb(12,127,67)"
60,180,1,5–10%,36,276,0.13043478260869565,0.2536231884057971,"rgb(150,210,104)"
60,180,2,10–15%,28,276,0.10144927536231885,0.3840579710144928,"rgb(254,255,190)"
60,180,3,15–20%,14,276,0.050724637681159424,0.48550724637681164,"rgb(251,157,89)"
60,180,4,≥20%,73,276,0.2644927536231884,0.5362318840579711,"rgb(189,23,38)"
60,180,5,not lit,55,276,0.19927536231884058,0.8007246376811594,"rgb(140,140,140)"
60,195,0,0–5%,260,610,0.4262295081967213,0,"rgb(12,127,67)"
60,195,1,5–10%,94,610,0.1540983606557377,0.4262295081967213,"rgb(150,210,104)"
60,195,2,10–15%,41,610,0.06721311475409836,0.580327868852459,"rgb(254,255,190)"
60,195,3,15–20%,27,610,0.04426229508196721,0.6475409836065573,"rgb(251,157,89)"
60,195,4,≥20%,84,610,0.1377049180327869,0.6918032786885245,"rgb(189,23,38)"
60,195,5,not lit,104,610,0.17049180327868851,0.8295081967213114,"rgb(140,140,140)"
60,210,0,0–5%,584,1679,0.34782608695652173,0,"rgb(12,127,67)"
60,210,1,5–10%,298,1679,0.17748659916617035,0.34782608695652173,"rgb(150,210,104)"
60,210,2,10–15%,161,1679,0.0958904109589041,0.5253126861226921,"rgb(254,255,190)"
60,210,3,15–20%,81,1679,0.048243001786777845,0.6212030970815963,"rgb(251,157,89)"
60,210,4,≥20%,255,1679,0.15187611673615248,0.6694460988683741,"rgb(189,23,38)"
60,210,5,not lit,300,1679,0.1786777843954735,0.8213222156045266,"rgb(140,140,140)"
60,225,0,0–5%,70,197,0.3553299492385787,0,"rgb(12,127,67)"
60,225,1,5–10%,34,197,0.17258883248730963,0.3553299492385787,"rgb(150,210,104)"
60,225,2,10–15%,12,197,0.06091370558375635,0.5279187817258884,"rgb(254,255,190)"
60,225,3,15–20%,21,197,0.1065989847715736,0.5888324873096447,"rgb(251,157,89)"
60,225,4,≥20%,37,197,0.18781725888324874,0.6954314720812182,"rgb(189,23,38)"
60,225,5,not lit,23,197,0.116751269035533,0.883248730964467,"rgb(140,140,140)"
60,240,0,0–5%,149,407,0.36609336609336607,0,"rgb(12,127,67)"
60,240,1,5–10%,50,407,0.12285012285012285,0.36609336609336607,"rgb(150,210,104)"
60,240,2,10–15%,32,407,0.07862407862407862,0.48894348894348894,"rgb(254,255,190)"
60,240,3,15–20%,19,407,0.04668304668304668,0.5675675675675675,"rgb(251,157,89)"
60,240,4,≥20%,106,407,0.26044226044226043,0.6142506142506142,"rgb(189,23,38)"
60,240,5,not lit,51,407,0.12530712530712532,0.8746928746928746,"rgb(140,140,140)"
60,255,0,0–5%,301,815,0.3693251533742331,0,"rgb(12,127,67)"
60,255,1,5–10%,106,815,0.13006134969325153,0.3693251533742331,"rgb(150,210,104)"
60,255,2,10–15%,74,815,0.09079754601226994,0.49938650306748467,"rgb(254,255,190)"
60,255,3,15–20%,49,815,0.06012269938650307,0.5901840490797546,"rgb(251,157,89)"
60,255,4,≥20%,193,815,0.23680981595092024,0.6503067484662577,"rgb(189,23,38)"
60,255,5,not lit,92,815,0.11288343558282209,0.8871165644171779,"rgb(140,140,140)"
60,270,0,0–5%,56,265,0.21132075471698114,0,"rgb(12,127,67)"
60,270,1,5–10%,33,265,0.12452830188679245,0.21132075471698114,"rgb(150,210,104)"
60,270,2,10–15%,19,265,0.07169811320754717,0.3358490566037736,"rgb(254,255,190)"
60,270,3,15–20%,21,265,0.07924528301886792,0.4075471698113208,"rgb(251,157,89)"
60,270,4,≥20%,98,265,0.36981132075471695,0.4867924528301887,"rgb(189,23,38)"
60,270,5,not lit,38,265,0.14339622641509434,0.8566037735849057,"rgb(140,140,140)"
60,285,0,0–5%,184,609,0.3021346469622332,0,"rgb(12,127,67)"
60,285,1,5–10%,90,609,0.1477832512315271,0.3021346469622332,"rgb(150,210,104)"
60,285,2,10–15%,52,609,0.08538587848932677,0.44991789819376027,"rgb(254,255,190)"
60,285,3,15–20%,36,609,0.059113300492610835,0.535303776683087,"rgb(251,157,89)"
60,285,4,≥20%,135,609,0.22167487684729065,0.5944170771756979,"rgb(189,23,38)"
60,285,5,not lit,112,609,0.1839080459770115,0.8160919540229885,"rgb(140,140,140)"
60,300,0,0–5%,375,1781,0.21055586749017405,0,"rgb(12,127,67)"
60,300,1,5–10%,207,1781,0.11622683885457608,0.21055586749017405,"rgb(150,210,104)"
60,300,2,10–15%,163,1781,0.09152161706906232,0.32678270634475015,"rgb(254,255,190)"
60,300,3,15–20%,99,1781,0.05558674901740595,0.41830432341381246,"rgb(251,157,89)"
60,300,4,≥20%,348,1781,0.19539584503088153,0.4738910724312184,"rgb(189,23,38)"
60,300,5,not lit,589,1781,0.33071308253790005,0.6692869174620999,"rgb(140,140,140)"
60,315,0,0–5%,28,190,0.14736842105263157,0,"rgb(12,127,67)"
60,315,1,5–10%,20,190,0.10526315789473684,0.14736842105263157,"rgb(150,210,104)"
60,315,2,10–15%,17,190,0.08947368421052632,0.25263157894736843,"rgb(254,255,190)"
60,315,3,15–20%,17,190,0.08947368421052632,0.34210526315789475,"rgb(251,157,89)"
60,315,4,≥20%,70,190,0.3684210526315789,0.43157894736842106,"rgb(189,23,38)"
60,315,5,not lit,38,190,0.2,0.8,"rgb(140,140,140)"
60,330,0,0–5%,46,442,0.10407239819004525,0,"rgb(12,127,67)"
60,330,1,5–10%,28,442,0.06334841628959276,0.10407239819004525,"rgb(150,210,104)"
60,330,2,10–15%,25,442,0.05656108597285068,0.16742081447963802,"rgb(254,255,190)"
60,330,3,15–20%,24,442,0.05429864253393665,0.2239819004524887,"rgb(251,157,89)"
60,330,4,≥20%,193,442,0.43665158371040724,0.27828054298642535,"rgb(189,23,38)"
60,330,5,not lit,126,442,0.2850678733031674,0.7149321266968326,"rgb(140,140,140)"
60,345,0,0–5%,114,924,0.12337662337662338,0,"rgb(12,127,67)"
60,345,1,5–10%,60,924,0.06493506493506493,0.12337662337662338,"rgb(150,210,104)"
60,345,2,10–15%,58,924,0.06277056277056277,0.18831168831168832,"rgb(254,255,190)"
60,345,3,15–20%,55,924,0.05952380952380952,0.2510822510822511,"rgb(251,157,89)"
60,345,4,≥20%,345,924,0.37337662337662336,0.3106060606060606,"rgb(189,23,38)"
60,345,5,not lit,292,924,0.31601731601731603,0.6839826839826839,"rgb(140,140,140)"
