latitude,id,family,m,ratio,cost,error,numerator,denominator,color,selected
0,6cd52c9bc8413fd0,MF,0,0.01,0.011759737012504018,0.19000267155811212,1115879.886693439,5872969.4563907655,#4C78A8,false
0,c84bdea16f32f98f,MF,0,0.02,0.020877703435246517,0.16053409234068125,942811.8210262357,5872969.4563907655,#4C78A8,false
0,92509a4487fb049e,MF,0,0.05,0.04997992859681482,0.12399464623144978,728216.7700732829,5872969.4563907655,#4C78A8,false
0,84910c2b0412848d,MF,0,0.1,0.09998428637446223,0.1019115965400825,598523.6937319234,5872969.4563907655,#4C78A8,false
0,031f112e5c4cf361,MF,0,0.2,0.20008062823660575,0.0786249307272162,461761.81667178054,5872969.4563907655,#4C78A8,false
0,3707057ec933dfea,MF,0,0.35,0.34992124076956094,0.057757286850497046,339206.78155696916,5872969.4563907655,#4C78A8,false
0,4acb6086578a45d2,MF,0,0.5,0.49996827455965037,0.04440152935993331,260768.82574792614,5872969.4563907655,#4C78A8,false
0,910b849b9f88b2ce,MF+SF,1,0.01,0.06377238243289854,0.14537416507823697,853778.0312527948,5872969.4563907655,#F58518,false
0,eb7cf93e607fec24,MF+SF,1,0.02,0.07241045588602302,0.11923036738082178,700236.3059018161,5872969.4563907655,#F58518,false
0,2ee080f94d11e0eb,MF+SF,1,0.05,0.09998098498645615,0.08552969037465372,502313.25918490055,5872969.4563907655,#F58518,false
0,1409585c91dc73a1,MF+SF,1,0.1,0.14735353446001684,0.06657937439489858,391018.63224684476,5872969.4563907655,#F58518,false
0,b24801b3365fed68,MF+SF,1,0.2,0.24218164780310017,0.04818633882477854,282996.8961332209,5872969.4563907655,#F58518,false
0,785553f0c30b5763,MF+SF,1,0.35,0.3841359123080051,0.03215847346434375,188865.73242024376,5872969.4563907655,#F58518,false
0,188dc42bd4bc80fd,MF+SF,1,0.5,0.5262857337933531,0.021264274856792227,124884.43674623888,5872969.4563907655,#F58518,false
0,ecd7558669a1757f,SF,1,0.01,0.06377238243289854,0.1670077887218061,980831.6421425295,5872969.4563907655,#F58518,false
0,6574c7bb9c60262a,SF,1,0.02,0.07241045588602302,0.14365549414360326,843684.3293481044,5872969.4563907655,#F58518,false
0,a1a13488340e570a,SF,1,0.05,0.09998098498645615,0.12015492527981551,705666.2062032712,5872969.4563907655,#F58518,false
0,a23e34b2f9a36a6e,SF,1,0.1,0.14735353446001684,0.1053538261474588,618739.8030779284,5872969.4563907655,#F58518,false
0,a1c635bdc08218d7,SF,1,0.2,0.24218164780310017,0.08630597088453558,506872.3309090282,5872969.4563907655,#F58518,false
0,048c516146700bb1,SF,1,0.35,0.3841359123080051,0.0625588257605913,367406.0729196245,5872969.4563907655,#F58518,false
0,4ba04a2546e1f79d,SF,1,0.5,0.5262857337933531,0.04175767298646259,245241.53801944855,5872969.4563907655,#F58518,false
0,2ce57ccc3fc59a00,MF+SF,2,0.01,0.11578502785329306,0.12514005224941965,734943.7046319861,5872969.4563907655,#54A24B,false
0,a9d08fba3f83d52e,MF+SF,2,0.02,0.1239432083367995,0.0991730836371343,582440.4910969766,5872969.4563907655,#54A24B,false
0,e4f15065e9975e62,MF+SF,2,0.05,0.14998204137609747,0.06420641018867483,377082.2859425841,5872969.4563907655,#54A24B,false
0,c81cf943f00a3372,MF+SF,2,0.1,0.19472278254557146,0.046243737064841986,271588.05533118255,5872969.4563907655,#54A24B,false
0,a6760b0100b1ffc9,MF+SF,2,0.2,0.28428266736959457,0.030299509073926065,177948.09133480262,5872969.4563907655,#54A24B,false
0,0308f3ae65f79480,MF+SF,2,0.35,0.4183505838464493,0.017811284985822257,104605.13270080555,5872969.4563907655,#54A24B,false
0,c9d93e5f19d85b38,MF+SF,2,0.5,0.5526031930270556,0.010491587148486008,61616.770872120214,5872969.4563907655,#54A24B,false
0,5d7141ec86d67657,SF,2,0.01,0.11578502785329306,0.11174408635664906,656269.606104892,5872969.4563907655,#54A24B,false
0,b2fef391172656c1,SF,2,0.02,0.1239432083367995,0.08684520567035271,510039.24033595563,5872969.4563907655,#54A24B,false
0,96a6ae5dfa507555,SF,2,0.05,0.14998204137609747,0.05976953596332112,351024.65913523437,5872969.4563907655,#54A24B,false
0,7d1bf613519e8cb1,SF,2,0.1,0.19472278254557146,0.04527685388214871,265909.579931327,5872969.4563907655,#54A24B,false
0,528e26e84cee2430,SF,2,0.2,0.28428266736959457,0.031202751535248995,183252.8067218674,5872969.4563907655,#54A24B,false
0,d8cc553777aeb66e,SF,2,0.35,0.4183505838464493,0.019941798427623957,117117.5730709369,5872969.4563907655,#54A24B,false
0,38266c7b3de97021,SF,2,0.5,0.5526031930270556,0.012870490845079578,75587.99962190933,5872969.4563907655,#54A24B,false
0,6edbb8097bc77054,MF+SF,3,0.01,0.16779767327368758,0.11491968559898977,674919.8034608966,5872969.4563907655,#B279A2,false
0,cb391d3977990c10,MF+SF,3,0.02,0.17547596078757602,0.09035960228871431,530679.1843332363,5872969.4563907655,#B279A2,false
0,41a0c11fb367a663,MF+SF,3,0.05,0.1999830977657388,0.057512067578968734,337766.616265165,5872969.4563907655,#B279A2,false
0,8dc245111c8c0751,MF+SF,3,0.1,0.24209203063112605,0.04054436057195028,238115.79126795803,5872969.4563907655,#B279A2,false
0,bea9a221692984be,MF+SF,3,0.2,0.32638368693608905,0.025685091743305206,150847.75929302612,5872969.4563907655,#B279A2,false
0,b2822fa3c084ca0c,MF+SF,3,0.35,0.4525652553848934,0.014505423179429412,85189.90728481156,5872969.4563907655,#B279A2,false
0,7a575b5bdbd82d08,MF+SF,3,0.5,0.5789206522607582,0.00818316717829349,48059.49089465707,5872969.4563907655,#B279A2,false
0,c1795dfd90543d9f,SF,3,0.01,0.16779767327368758,0.09939126176593828,583721.8445834948,5872969.4563907655,#B279A2,false
0,0dfbc6fb684fecfc,SF,3,0.02,0.17547596078757602,0.07575097242850706,444883.147364521,5872969.4563907655,#B279A2,false
0,d8cd672cd8470116,SF,3,0.05,0.1999830977657388,0.0503065354409737,295448.7461016781,5872969.4563907655,#B279A2,false
0,c5565005198482df,SF,3,0.1,0.24209203063112605,0.036609392304805186,215005.84282314798,5872969.4563907655,#B279A2,false
0,9473b128e73baa7f,SF,3,0.2,0.32638368693608905,0.023757969446056806,139529.82890255665,5872969.4563907655,#B279A2,true
0,17e14e38b27d877e,SF,3,0.35,0.4525652553848934,0.013876012102656326,81493.39525540921,5872969.4563907655,#B279A2,false
0,5efbca017834c43c,SF,3,0.5,0.5789206522607582,0.008087669265610716,47498.63457032207,5872969.4563907655,#B279A2,false
15,6cd52c9bc8413fd0,MF,0,0.01,0.011759737012504018,0.19795843475796268,1108797.7971073985,5601164.701383346,#4C78A8,false
15,c84bdea16f32f98f,MF,0,0.02,0.020877703435246517,0.16662037015824363,933268.1358617812,5601164.701383346,#4C78A8,false
15,92509a4487fb049e,MF,0,0.05,0.04997992859681482,0.12866047813352585,720648.5285846088,5601164.701383346,#4C78A8,false
15,84910c2b0412848d,MF,0,0.1,0.09998428637446223,0.10541995612571226,590474.5370727205,5601164.701383346,#4C78A8,false
15,031f112e5c4cf361,MF,0,0.2,0.20008062823660575,0.08144903921603538,456209.4834184453,5601164.701383346,#4C78A8,false
15,3707057ec933dfea,MF,0,0.35,0.34992124076956094,0.06008241915120342,336531.52532343933,5601164.701383346,#4C78A8,false
15,4acb6086578a45d2,MF,0,0.5,0.49996827455965037,0.0463704420339315,259728.4831079997,5601164.701383346,#4C78A8,false
15,910b849b9f88b2ce,MF+SF,1,0.01,0.06377238243289854,0.15595561487363216,873533.0850127239,5601164.701383346,#F58518,false
15,eb7cf93e607fec24,MF+SF,1,0.02,0.07241045588602302,0.12727804259786824,712905.2794603454,5601164.701383346,#F58518,false
15,2ee080f94d11e0eb,MF+SF,1,0.05,0.09998098498645615,0.09115412570324247,510569.27127446205,5601164.701383346,#F58518,false
15,1409585c91dc73a1,MF+SF,1,0.1,0.14735353446001684,0.0710744427723559,398099.66002701054,5601164.701383346,#F58518,false
15,b24801b3365fed68,MF+SF,1,0.2,0.24218164780310017,0.05145422430710722,288203.5849260299,5601164.701383346,#F58518,false
15,785553f0c30b5763,MF+SF,1,0.35,0.3841359123080051,0.03382984400130263,189486.52807340142,5601164.701383346,#F58518,false
15,188dc42bd4bc80fd,MF+SF,1,0.5,0.5262857337933531,0.02219844144803409,124337.12666445354,5601164.701383346,#F58518,false
